epoch,loss,val_loss
0,0.00046597194159403443,0.0002373198076384142
1,0.000204680603928864,0.00016167521243914962
2,0.00015932772657833993,0.00013137684436514974
3,0.0001349600061075762,0.00010786518396344036
4,0.00011951990018133074,9.82219135039486e-05
5,0.00011023804836440831,9.15337004698813e-05
6,0.00010314404062228277,8.601201261626557e-05
7,9.791469346964732e-05,8.046490984270349e-05
8,9.339465032098815e-05,7.545323023805395e-05
9,8.97180798347108e-05,7.371335959760472e-05
10,8.634849655209109e-05,6.844911695225164e-05
11,8.400940714636818e-05,6.937403668416664e-05
12,8.128924673656002e-05,6.437850242946297e-05
13,7.906125392764807e-05,6.527552613988519e-05
14,6.998023309279233e-05,5.512580173672177e-05
15,6.765458238078281e-05,5.3928743000142276e-05
16,6.656746700173244e-05,5.303162106429227e-05
17,6.59422148601152e-05,5.248257002676837e-05
18,6.488183134933934e-05,5.213808981352486e-05
19,6.45765830995515e-05,5.217440047999844e-05
20,6.441233563236892e-05,5.198045619181357e-05
21,6.4352665503975e-05,5.1983868615934625e-05
22,6.42922314000316e-05,5.191138552618213e-05
