epoch,loss,val_loss
0,0.0005078675458207726,0.0002892054617404938
1,0.00021260457288008183,0.00015374300710391253
2,0.00014447953435592353,0.00011876640928676352
3,0.00011242467735428363,8.57423001434654e-05
4,9.350573236588389e-05,6.981521437410265e-05
5,8.3907951193396e-05,6.153436697786674e-05
6,7.474450103472918e-05,5.254292773315683e-05
7,6.620446220040321e-05,6.071467214496806e-05
8,6.357431266224012e-05,4.4923333916813135e-05
9,5.927533493377268e-05,4.789169179275632e-05
10,4.765105768456124e-05,2.8018088414683007e-05
11,4.412822090671398e-05,2.647289147716947e-05
12,4.279777567717247e-05,2.599985782580916e-05
13,4.192749838693999e-05,2.549479904701002e-05
14,4.0909781091613695e-05,2.45854116656119e-05
15,4.07008956244681e-05,2.422590296191629e-05
16,4.06045037379954e-05,2.4419467081315815e-05
17,4.0470415115123615e-05,2.4222652427852154e-05
18,4.053580778418109e-05,2.4300761651829816e-05
19,4.0407492633676156e-05,2.4272803784697317e-05
20,4.040972999064252e-05,2.4243812731583603e-05
21,4.050522329634987e-05,2.423937439743895e-05
22,4.0451250242767856e-05,2.4239714548457414e-05
23,4.0446484490530565e-05,2.4238432160927914e-05
24,4.04234706365969e-05,2.4238406695076264e-05
25,4.046622780151665e-05,2.4238826881628484e-05
26,4.0519113099435344e-05,2.4238803234766237e-05
27,4.0453476685797796e-05,2.4238795958808623e-05
28,4.040039129904471e-05,2.42387832258828e-05
29,4.04756392526906e-05,2.4238781406893395e-05
30,4.044567685923539e-05,2.4238781406893395e-05
31,4.0513521526008844e-05,2.423877958790399e-05
32,4.046923640999012e-05,2.423877958790399e-05
33,4.051005089422688e-05,2.42387832258828e-05
34,4.046017784276046e-05,2.423877958790399e-05
35,4.044385423185304e-05,2.423877958790399e-05
36,4.05056998715736e-05,2.4238781406893395e-05
37,4.0457980503560975e-05,2.4238781406893395e-05
38,4.050372081110254e-05,2.4238781406893395e-05
39,4.0519811591366306e-05,2.4238781406893395e-05
40,4.047290713060647e-05,2.42387832258828e-05
