epoch,loss,val_loss
0,0.0007245532469823956,0.0005710216937586665
1,0.00039409659802913666,0.0002650579554028809
2,0.00022720976267009974,0.00019305480236653239
3,0.00017266388749703765,0.00013727588520850986
4,0.00013979172217659652,0.0001249822962563485
5,0.00012079584848834202,0.00012041502486681566
6,0.00010878659668378532,8.493642963003367e-05
7,9.967019286705181e-05,7.597772491862997e-05
8,8.882465044735e-05,7.318639836739749e-05
9,8.249749225797132e-05,7.03196128597483e-05
10,7.962992822285742e-05,5.939854236203246e-05
11,7.264665327966213e-05,6.205081444932148e-05
12,6.947439396753907e-05,5.618523573502898e-05
13,6.766800652258098e-05,4.914884266327135e-05
14,6.241026130737737e-05,5.2380280976649374e-05
15,5.955539018032141e-05,4.41218217019923e-05
16,5.77656137465965e-05,4.269499913789332e-05
17,4.884699228568934e-05,3.252021997468546e-05
18,4.6129665861371905e-05,3.0085770049481653e-05
19,4.506805635173805e-05,2.8910773835377768e-05
20,4.429393447935581e-05,2.9710145099670626e-05
21,4.3280124373268336e-05,2.8427704819478095e-05
22,4.302353772800416e-05,2.834397673723288e-05
23,4.297738632885739e-05,2.8301094062044285e-05
24,4.2933177610393614e-05,2.8173511964268982e-05
25,4.2851577745750546e-05,2.8141619623056613e-05
26,4.289146090741269e-05,2.8181555535411462e-05
27,4.285019895178266e-05,2.8172271413495764e-05
28,4.275188621249981e-05,2.817941458488349e-05
29,4.286461626179516e-05,2.817485983541701e-05
30,4.2816467612283304e-05,2.8175345505587757e-05
31,4.283469024812803e-05,2.8175540137453936e-05
32,4.289355274522677e-05,2.817602398863528e-05
33,4.2836629290832207e-05,2.817604035953991e-05
34,4.276747131370939e-05,2.817602944560349e-05
35,4.2835043132072315e-05,2.8176020350656472e-05
36,4.2781892261700705e-05,2.817602398863528e-05
37,4.277118932805024e-05,2.817601853166707e-05
38,4.275178798707202e-05,2.817601853166707e-05
39,4.2830790334846824e-05,2.8176020350656472e-05
40,4.2842359107453376e-05,2.817602398863528e-05
41,4.287324918550439e-05,2.817602398863528e-05
42,4.2783642129506916e-05,2.8176020350656472e-05
43,4.283404632587917e-05,2.8176020350656472e-05
44,4.281588553567417e-05,2.817601853166707e-05
45,4.288238051231019e-05,2.8176020350656472e-05
46,4.28107705374714e-05,2.8176020350656472e-05
47,4.280187567928806e-05,2.8176020350656472e-05
48,4.281080691725947e-05,2.817602398863528e-05
49,4.290030847187154e-05,2.8176020350656472e-05
