epoch,loss,val_loss
0,0.0005280492478050292,0.0003575498121790588
1,0.00025623798137530684,0.00019053604046348482
2,0.00018677413754630834,0.00015500129666179419
3,0.00015210380661301315,0.00012062340829288587
4,0.00013479762128554285,0.0001080296715372242
5,0.00012355200306046754,9.984634380089119e-05
6,0.00011674599227262661,9.5989482360892e-05
7,0.00011015496420441195,8.820878429105505e-05
8,0.00010471807763678953,8.306375093525276e-05
9,9.971973486244678e-05,7.736615953035653e-05
10,9.64543578447774e-05,7.706766336923465e-05
11,9.306213178206235e-05,7.205288420664147e-05
12,8.98285215953365e-05,7.048508268781006e-05
13,8.744597289478406e-05,7.361530879279599e-05
14,8.49926655064337e-05,6.708690489176661e-05
15,7.523866952396929e-05,5.68021168874111e-05
16,7.292359077837318e-05,5.5706499551888555e-05
17,7.182779518188909e-05,5.4980901040835306e-05
18,7.132333848858252e-05,5.3771524108015e-05
19,7.013171125436202e-05,5.33846250618808e-05
20,6.995685544097796e-05,5.33934507984668e-05
21,6.972127448534593e-05,5.3257561376085505e-05
22,6.957272125873715e-05,5.3209714678814635e-05
23,6.975413270993158e-05,5.317175600794144e-05
24,6.955934804864228e-05,5.319164483807981e-05
25,6.95907001500018e-05,5.3194879001239315e-05
26,6.968955131014809e-05,5.319342017173767e-05
27,6.952144758543e-05,5.3188872698228806e-05
28,6.975246651563793e-05,5.318873445503414e-05
29,6.959032180020586e-05,5.318893090588972e-05
30,6.954384298296645e-05,5.318920375430025e-05
31,6.976559961913154e-05,5.318920739227906e-05
32,6.958182348171249e-05,5.318920739227906e-05
33,6.964174099266529e-05,5.318920739227906e-05
