epoch,loss,val_loss
0,0.00036251236451789737,0.00016025143850129098
1,0.00016500924539286643,0.00010864018986467272
2,0.00012210337445139885,7.446840754710138e-05
3,0.0001001204873318784,6.038908031769097e-05
4,8.756032184464857e-05,5.16575419169385e-05
5,7.879870099714026e-05,4.892969081993215e-05
6,7.24043493391946e-05,4.34167668572627e-05
7,6.76811978337355e-05,4.018999607069418e-05
8,6.378111720550805e-05,3.684303737827577e-05
9,6.075363853597082e-05,3.485589331830852e-05
10,5.809830690850504e-05,3.175963502144441e-05
11,5.6039614719338715e-05,3.1214225600706413e-05
12,4.602054468705319e-05,2.3117576347431168e-05
13,4.4061376684112474e-05,2.2651891413261183e-05
14,4.3288182496326044e-05,2.2129432181827724e-05
15,4.2676801967900246e-05,2.1574012862402014e-05
16,4.1834020521491766e-05,2.1225585442152806e-05
17,4.155842543696053e-05,2.122389923897572e-05
18,4.14853057009168e-05,2.1103825929458253e-05
19,4.145200364291668e-05,2.1064803149783984e-05
20,4.140923556406051e-05,2.103206134052016e-05
21,4.139724114793353e-05,2.1004763766541146e-05
22,4.138900476391427e-05,2.101406607835088e-05
23,4.121091842534952e-05,2.100795609294437e-05
24,4.150114182266407e-05,2.1016669052187353e-05
25,4.1414921724935994e-05,2.101723111991305e-05
26,4.1350100218551233e-05,2.1016378013882786e-05
