epoch,loss,val_loss
0,0.0004051539581269026,0.00018282099335920066
1,0.0001906531979329884,0.00011198094580322504
2,0.00014247170474845916,8.939839608501643e-05
3,0.00011801976506831124,7.261366408783942e-05
4,0.00010286346514476463,6.209623825270683e-05
5,9.273082832805812e-05,5.220835009822622e-05
6,8.548147161491215e-05,5.152518133400008e-05
7,8.000421803444624e-05,4.491842264542356e-05
8,7.552680472144857e-05,4.193044878775254e-05
9,7.16115755494684e-05,3.837790427496657e-05
10,6.845170719316229e-05,3.664889300125651e-05
11,6.60870864521712e-05,3.5605848097475246e-05
12,6.394007505150512e-05,3.376640233909711e-05
13,5.276899173622951e-05,2.4821938495733775e-05
14,5.053214044892229e-05,2.4510818548151292e-05
15,4.9646383558865637e-05,2.3540884285466745e-05
16,4.884038935415447e-05,2.3864986360422336e-05
17,4.7773250116733834e-05,2.2491469280794263e-05
18,4.774527042172849e-05,2.2598915165872313e-05
19,4.7495585022261366e-05,2.2465790607384406e-05
20,4.7539855586364865e-05,2.235287320218049e-05
21,4.745300248032436e-05,2.2355974579113536e-05
22,4.739686846733093e-05,2.2355106921168044e-05
