epoch,loss,val_loss
0,0.0007300698198378086,0.00030379192321561277
1,0.0002608773356769234,0.00013394115376286209
2,0.00016021968622226268,9.185877570416778e-05
3,0.00012313370825722814,7.218498649308458e-05
4,0.0001059138958225958,8.135104872053489e-05
5,9.313256305176765e-05,4.843999704462476e-05
6,8.325858652824536e-05,4.2891584598692134e-05
7,7.958563946885988e-05,3.961790935136378e-05
8,7.290968642337248e-05,3.999620457761921e-05
9,5.955871529295109e-05,2.730680353124626e-05
10,5.720293120248243e-05,2.7066696929978207e-05
11,5.625277844956145e-05,2.6987598175765015e-05
12,5.547154069063254e-05,2.542913171055261e-05
13,5.429853263194673e-05,2.537927866796963e-05
14,5.4145024478202686e-05,2.5475606889813207e-05
15,5.3892556024948135e-05,2.4980754460557364e-05
