epoch,loss,val_loss
0,0.0004138194490224123,0.00015237748448271304
1,0.00015182934293989092,7.990903395693749e-05
2,0.00010276955435983837,5.920366311329417e-05
3,8.345292008016258e-05,4.570474993670359e-05
4,7.186176662798971e-05,3.705632843775675e-05
5,6.478953582700342e-05,3.408170596230775e-05
6,5.9694404626498e-05,3.056667992495932e-05
7,5.588677231571637e-05,2.872687400667928e-05
8,5.6079567002598196e-05,2.8784750611521304e-05
9,4.632181298802607e-05,2.0824472812819295e-05
10,4.3937463487964123e-05,1.990974669752177e-05
11,4.285771865397692e-05,1.928259734995663e-05
12,4.199600516585633e-05,1.8841761630028486e-05
13,4.11338587582577e-05,1.8266668121214025e-05
14,4.0930470277089626e-05,1.8182352505391464e-05
15,4.084923057234846e-05,1.809015520848334e-05
